Date,Year,Quarter,Month,BusinessUnit,Region,RecordID,Revenue,GrossProfit,Expenses,NetProfit,OperatingCashFlow
2023-01-28,2023,Q1,Jan,Corporate,North America,FIN-1001,41461.2,18657.54,29271.61,12189.59,13164.76
2023-01-28,2023,Q1,Jan,Commercial,Europe,FIN-1002,34333.2,15449.94,24239.24,10093.96,10901.48
2023-01-28,2023,Q1,Jan,Consumer,Asia Pacific,FIN-1003,25779.6,11600.82,18200.4,7579.2,8185.54
2023-01-28,2023,Q1,Jan,Other,Latin America,FIN-1004,17226.0,7751.7,12161.56,5064.44,5469.6
2023-02-28,2023,Q1,Feb,Corporate,North America,FIN-1005,51826.5,23321.92,36589.51,15236.99,16455.95
2023-02-28,2023,Q1,Feb,Commercial,Europe,FIN-1006,42916.5,19312.42,30299.05,12617.45,13626.85
2023-02-28,2023,Q1,Feb,Consumer,Asia Pacific,FIN-1007,32224.5,14501.02,22750.5,9474.0,10231.92
2023-02-28,2023,Q1,Feb,Other,Latin America,FIN-1008,21532.5,9689.62,15201.95,6330.55,6836.99
2023-03-28,2023,Q1,Mar,Corporate,North America,FIN-1009,56663.64,25498.64,40004.53,16659.11,17991.84
2023-03-28,2023,Q1,Mar,Commercial,Europe,FIN-1010,46922.04,21114.92,33126.96,13795.08,14898.69
2023-03-28,2023,Q1,Mar,Consumer,Asia Pacific,FIN-1011,35232.12,15854.45,24873.88,10358.24,11186.9
2023-03-28,2023,Q1,Mar,Other,Latin America,FIN-1012,23542.2,10593.99,16620.79,6921.41,7475.12
2023-04-28,2023,Q2,Apr,Corporate,North America,FIN-1013,50444.46,22700.01,35613.79,14830.67,16017.12
2023-04-28,2023,Q2,Apr,Commercial,Europe,FIN-1014,41772.06,18797.43,29491.07,12280.99,13263.47
2023-04-28,2023,Q2,Apr,Consumer,Asia Pacific,FIN-1015,31365.18,14114.33,22143.82,9221.36,9959.07
2023-04-28,2023,Q2,Apr,Other,Latin America,FIN-1016,20958.3,9431.24,14796.56,6161.74,6654.68
2023-05-28,2023,Q2,May,Corporate,North America,FIN-1017,56663.64,25498.64,40004.53,16659.11,17991.84
2023-05-28,2023,Q2,May,Commercial,Europe,FIN-1018,46922.04,21114.92,33126.96,13795.08,14898.69
2023-05-28,2023,Q2,May,Consumer,Asia Pacific,FIN-1019,35232.12,15854.45,24873.88,10358.24,11186.9
2023-05-28,2023,Q2,May,Other,Latin America,FIN-1020,23542.2,10593.99,16620.79,6921.41,7475.12
2023-06-28,2023,Q2,Jun,Corporate,North America,FIN-1021,62191.8,27986.31,43907.41,18284.39,19747.14
2023-06-28,2023,Q2,Jun,Commercial,Europe,FIN-1022,51499.8,23174.91,36358.86,15140.94,16352.22
2023-06-28,2023,Q2,Jun,Consumer,Asia Pacific,FIN-1023,38669.4,17401.23,27300.6,11368.8,12278.3
2023-06-28,2023,Q2,Jun,Other,Latin America,FIN-1024,25839.0,11627.55,18242.33,7596.67,8204.4
2023-07-28,2023,Q3,Jul,Corporate,North America,FIN-1025,66337.92,29852.06,46834.57,19503.35,21063.62
2023-07-28,2023,Q3,Jul,Commercial,Europe,FIN-1026,54933.12,24719.9,38782.78,16150.34,17442.37
2023-07-28,2023,Q3,Jul,Consumer,Asia Pacific,FIN-1027,41247.36,18561.31,29120.64,12126.72,13096.86
2023-07-28,2023,Q3,Jul,Other,Latin America,FIN-1028,27561.6,12402.72,19458.49,8103.11,8751.36
2023-08-28,2023,Q3,Aug,Corporate,North America,FIN-1029,62882.82,28297.27,44395.27,18487.55,19966.55
2023-08-28,2023,Q3,Aug,Commercial,Europe,FIN-1030,52072.02,23432.41,36762.85,15309.17,16533.9
2023-08-28,2023,Q3,Aug,Consumer,Asia Pacific,FIN-1031,39099.06,17594.58,27603.94,11495.12,12414.73
2023-08-28,2023,Q3,Aug,Other,Latin America,FIN-1032,26126.1,11756.74,18445.03,7681.07,8295.56
2023-09-28,2023,Q3,Sep,Corporate,North America,FIN-1033,71175.06,32028.78,50249.59,20925.47,22599.51
2023-09-28,2023,Q3,Sep,Commercial,Europe,FIN-1034,58938.66,26522.4,41610.69,17327.97,18714.21
2023-09-28,2023,Q3,Sep,Consumer,Asia Pacific,FIN-1035,44254.98,19914.74,31244.02,13010.96,14051.84
2023-09-28,2023,Q3,Sep,Other,Latin America,FIN-1036,29571.3,13307.08,20877.34,8693.96,9389.48
2023-10-28,2023,Q4,Oct,Corporate,North America,FIN-1037,68410.98,30784.94,48298.15,20112.83,21721.86
2023-10-28,2023,Q4,Oct,Commercial,Europe,FIN-1038,56649.78,25492.4,39994.74,16655.04,17987.44
2023-10-28,2023,Q4,Oct,Consumer,Asia Pacific,FIN-1039,42536.34,19141.35,30030.66,12505.68,13506.13
2023-10-28,2023,Q4,Oct,Other,Latin America,FIN-1040,28422.9,12790.31,20066.57,8356.33,9024.84
2023-11-28,2023,Q4,Nov,Corporate,North America,FIN-1041,50444.46,22700.01,35613.79,14830.67,16017.12
2023-11-28,2023,Q4,Nov,Commercial,Europe,FIN-1042,41772.06,18797.43,29491.07,12280.99,13263.47
2023-11-28,2023,Q4,Nov,Consumer,Asia Pacific,FIN-1043,31365.18,14114.33,22143.82,9221.36,9959.07
2023-11-28,2023,Q4,Nov,Other,Latin America,FIN-1044,20958.3,9431.24,14796.56,6161.74,6654.68
2023-12-28,2023,Q4,Dec,Corporate,North America,FIN-1045,52517.52,23632.88,37077.37,15440.15,16675.36
2023-12-28,2023,Q4,Dec,Commercial,Europe,FIN-1046,43488.72,19569.92,30703.04,12785.68,13808.53
2023-12-28,2023,Q4,Dec,Consumer,Asia Pacific,FIN-1047,32654.16,14694.37,23053.84,9600.32,10368.35
2023-12-28,2023,Q4,Dec,Other,Latin America,FIN-1048,21819.6,9818.82,15404.64,6414.96,6928.16
2024-01-28,2024,Q1,Jan,Corporate,North America,FIN-1049,49209.0,22636.14,33905.0,15304.0,17018.05
2024-01-28,2024,Q1,Jan,Commercial,Europe,FIN-1050,40749.0,18744.54,28076.06,12672.94,14092.31
2024-01-28,2024,Q1,Jan,Consumer,Asia Pacific,FIN-1051,30597.0,14074.62,21081.33,9515.67,10581.43
2024-01-28,2024,Q1,Jan,Other,Latin America,FIN-1052,20445.0,9404.7,14086.61,6358.39,7070.53
2024-02-28,2024,Q1,Feb,Corporate,North America,FIN-1053,61511.25,28295.18,42381.25,19130.0,21272.56
2024-02-28,2024,Q1,Feb,Commercial,Europe,FIN-1054,50936.25,23430.67,35095.08,15841.17,17615.38
