account_id,customer_id,account_type,opened_date,account_status
A0000001,C000001,Savings,2018-06-02,Active
A0000002,C000001,Savings,2018-06-02,Active
A0000003,C000002,Savings,2023-03-01,Dormant
A0000004,C000003,Current,2024-02-10,Active
A0000005,C000004,Current,2022-06-21,Active
A0000006,C000005,Current,2019-05-31,Active
A0000007,C000006,Credit Card,2018-06-30,Active
A0000008,C000007,Savings,2021-04-09,Active
A0000009,C000008,Savings,2022-09-27,Active
A0000010,C000009,Savings,2019-02-23,Active
A0000011,C000010,Savings,2019-08-23,Active
A0000012,C000010,Current,2019-08-23,Dormant
A0000013,C000011,Savings,2024-10-06,Active
A0000014,C000012,Current,2024-09-05,Active
A0000015,C000012,Savings,2024-09-05,Active
A0000016,C000012,Current,2024-09-05,Active
A0000017,C000013,Current,2020-01-30,Active
A0000018,C000014,Savings,2019-09-11,Active
A0000019,C000015,Current,2024-04-06,Active
A0000020,C000016,Credit Card,2018-11-15,Active
A0000021,C000017,Current,2018-12-22,Active
A0000022,C000017,Current,2018-12-22,Active
A0000023,C000017,Current,2018-12-22,Active
A0000024,C000018,Credit Card,2025-03-28,Active
A0000025,C000019,Savings,2021-01-10,Active
A0000026,C000019,Current,2021-01-10,Closed
A0000027,C000019,Savings,2021-01-10,Active
A0000028,C000020,Credit Card,2019-02-26,Active
A0000029,C000021,Current,2024-03-18,Active
A0000030,C000022,Current,2020-06-24,Active
A0000031,C000023,Current,2021-01-09,Active
A0000032,C000024,Savings,2023-09-30,Active
A0000033,C000025,Current,2018-02-13,Active
A0000034,C000026,Current,2021-04-03,Active
A0000035,C000026,Current,2021-04-03,Active
A0000036,C000027,Current,2020-09-09,Active
A0000037,C000028,Current,2018-11-09,Active
A0000038,C000028,Credit Card,2018-11-09,Active
A0000039,C000028,Savings,2018-11-09,Active
A0000040,C000029,Current,2020-09-09,Active
A0000041,C000029,Current,2020-09-09,Active
A0000042,C000030,Current,2024-11-15,Active
A0000043,C000030,Savings,2024-11-15,Active
A0000044,C000031,Current,2024-05-07,Active
A0000045,C000032,Current,2020-06-05,Active
A0000046,C000033,Current,2023-03-16,Active
A0000047,C000034,Current,2019-05-17,Active
A0000048,C000034,Savings,2019-05-17,Active
A0000049,C000035,Savings,2022-02-16,Active
A0000050,C000036,Credit Card,2024-03-24,Active
A0000051,C000036,Current,2024-03-24,Closed
A0000052,C000036,Savings,2024-03-24,Active
A0000053,C000037,Savings,2021-09-20,Active
A0000054,C000037,Current,2021-09-20,Active
A0000055,C000037,Savings,2021-09-20,Active
A0000056,C000038,Current,2021-06-13,Active
A0000057,C000039,Current,2020-12-12,Active
A0000058,C000039,Savings,2020-12-12,Active
A0000059,C000040,Savings,2019-05-01,Closed
A0000060,C000040,Current,2019-05-01,Active
A0000061,C000041,Savings,2021-11-21,Active
A0000062,C000041,Current,2021-11-21,Active
A0000063,C000042,Current,2024-12-14,Active
A0000064,C000042,Current,2024-12-14,Active
A0000065,C000043,Savings,2018-07-25,Active
A0000066,C000044,Current,2019-02-02,Active
A0000067,C000045,Current,2023-06-10,Active
A0000068,C000045,Current,2023-06-10,Active
A0000069,C000046,Current,2018-05-20,Active
A0000070,C000046,Savings,2018-05-20,Active
A0000071,C000047,Current,2024-05-23,Active
A0000072,C000048,Current,2022-02-20,Active
A0000073,C000048,Savings,2022-02-20,Active
A0000074,C000049,Current,2018-12-18,Active
A0000075,C000050,Savings,2024-04-19,Active
A0000076,C000051,Current,2022-05-15,Active
A0000077,C000052,Current,2021-05-30,Active
A0000078,C000053,Savings,2020-04-20,Active
A0000079,C000053,Savings,2020-04-20,Active
A0000080,C000053,Current,2020-04-20,Active
A0000081,C000054,Savings,2018-05-26,Active
A0000082,C000055,Current,2021-09-15,Active
A0000083,C000056,Savings,2025-05-17,Active
A0000084,C000057,Savings,2018-02-18,Active
A0000085,C000058,Savings,2022-10-02,Active
A0000086,C000058,Current,2022-10-02,Dormant
A0000087,C000058,Current,2022-10-02,Active
A0000088,C000059,Current,2019-02-06,Active
A0000089,C000060,Current,2022-10-29,Active
A0000090,C000060,Savings,2022-10-29,Active
A0000091,C000060,Savings,2022-10-29,Active
A0000092,C000061,Current,2024-12-20,Active
A0000093,C000061,Current,2024-12-20,Dormant
A0000094,C000062,Current,2024-03-25,Active
A0000095,C000063,Current,2023-12-16,Active
A0000096,C000063,Current,2023-12-16,Active
A0000097,C000063,Current,2023-12-16,Active
A0000098,C000064,Current,2020-05-17,Active
A0000099,C000065,Current,2021-09-12,Active
A0000100,C000065,Current,2021-09-12,Active
A0000101,C000066,Current,2018-02-24,Active
A0000102,C000066,Savings,2018-02-24,Active
A0000103,C000067,Savings,2019-06-21,Active
A0000104,C000067,Current,2019-06-21,Active
A0000105,C000068,Current,2024-05-14,Active
A0000106,C000069,Current,2020-02-01,Active
A0000107,C000070,Savings,2019-11-13,Active
A0000108,C000071,Current,2019-08-31,Active
A0000109,C000071,Savings,2019-08-31,Active
A0000110,C000072,Current,2019-01-02,Active
A0000111,C000072,Savings,2019-01-02,Active
A0000112,C000073,Current,2024-02-17,Active
A0000113,C000074,Savings,2023-10-13,Active
A0000114,C000074,Current,2023-10-13,Active
A0000115,C000075,Current,2023-03-19,Active
A0000116,C000075,Current,2023-03-19,Active
A0000117,C000076,Current,2018-01-07,Dormant
A0000118,C000076,Current,2018-01-07,Active
A0000119,C000077,Current,2020-05-13,Active
A0000120,C000078,Current,2020-03-27,Active
A0000121,C000078,Credit Card,2020-03-27,Active
A0000122,C000079,Current,2023-11-19,Active
A0000123,C000080,Savings,2019-09-09,Active
A0000124,C000081,Current,2020-11-04,Active
A0000125,C000082,Current,2019-11-01,Active
A0000126,C000083,Current,2025-07-16,Active
A0000127,C000083,Current,2025-07-16,Active
A0000128,C000084,Current,2023-12-25,Active
A0000129,C000085,Current,2020-08-15,Active
A0000130,C000086,Current,2022-06-03,Dormant
A0000131,C000087,Savings,2018-07-05,Active
A0000132,C000088,Current,2022-01-28,Closed
A0000133,C000089,Current,2020-11-28,Dormant
A0000134,C000090,Current,2023-01-09,Closed
A0000135,C000091,Current,2022-08-13,Active
A0000136,C000092,Current,2019-06-17,Active
A0000137,C000093,Savings,2024-02-07,Active
A0000138,C000093,Current,2024-02-07,Dormant
A0000139,C000094,Credit Card,2024-03-25,Active
A0000140,C000094,Current,2024-03-25,Active
A0000141,C000095,Current,2025-04-08,Dormant
A0000142,C000095,Current,2025-04-08,Active
A0000143,C000096,Savings,2023-07-16,Dormant
A0000144,C000097,Current,2018-08-02,Active
A0000145,C000097,Savings,2018-08-02,Active
A0000146,C000098,Current,2018-07-27,Active
A0000147,C000099,Current,2018-11-04,Active
A0000148,C000100,Current,2021-03-09,Active
A0000149,C000101,Current,2019-08-04,Active
A0000150,C000101,Current,2019-08-04,Active
A0000151,C000102,Savings,2020-05-12,Active
A0000152,C000103,Credit Card,2019-03-17,Active
A0000153,C000104,Savings,2025-01-17,Active
A0000154,C000104,Credit Card,2025-01-17,Active
A0000155,C000104,Credit Card,2025-01-17,Active
A0000156,C000105,Savings,2019-04-16,Active
A0000157,C000106,Current,2020-05-10,Active
A0000158,C000106,Current,2020-05-10,Active
A0000159,C000107,Savings,2025-08-05,Active
A0000160,C000107,Credit Card,2025-08-05,Active
A0000161,C000108,Current,2018-11-28,Active
A0000162,C000108,Savings,2018-11-28,Active
A0000163,C000109,Current,2024-11-25,Active
A0000164,C000110,Savings,2020-05-12,Active
A0000165,C000111,Current,2019-12-26,Active
A0000166,C000112,Current,2021-01-21,Active
A0000167,C000112,Current,2021-01-21,Active
A0000168,C000113,Current,2025-02-18,Active
A0000169,C000114,Current,2025-01-27,Active
A0000170,C000114,Savings,2025-01-27,Active
A0000171,C000115,Savings,2018-10-26,Active
A0000172,C000115,Savings,2018-10-26,Active
A0000173,C000116,Current,2023-09-03,Active
A0000174,C000117,Current,2024-03-03,Active
A0000175,C000118,Current,2025-06-20,Active
A0000176,C000118,Current,2025-06-20,Active
A0000177,C000119,Savings,2024-03-01,Dormant
A0000178,C000119,Credit Card,2024-03-01,Active
A0000179,C000120,Savings,2020-11-04,Active
A0000180,C000121,Current,2018-12-30,Active
A0000181,C000122,Current,2020-11-25,Active
A0000182,C000123,Savings,2022-12-22,Active
A0000183,C000123,Current,2022-12-22,Active
A0000184,C000124,Current,2020-05-31,Active
A0000185,C000125,Savings,2022-08-08,Active
A0000186,C000126,Current,2018-02-18,Active
A0000187,C000127,Current,2022-03-09,Active
A0000188,C000128,Current,2018-07-25,Active
A0000189,C000129,Savings,2021-10-13,Active
A0000190,C000130,Current,2022-11-26,Active
A0000191,C000131,Savings,2025-08-22,Dormant
A0000192,C000132,Current,2021-11-19,Active
A0000193,C000132,Current,2021-11-19,Active
A0000194,C000133,Current,2021-09-14,Active
A0000195,C000134,Credit Card,2018-02-23,Active
A0000196,C000135,Current,2020-10-05,Active
A0000197,C000136,Credit Card,2024-10-07,Active
A0000198,C000137,Credit Card,2018-12-23,Active
A0000199,C000137,Savings,2018-12-23,Active
A0000200,C000138,Current,2022-03-31,Active
A0000201,C000138,Credit Card,2022-03-31,Active
A0000202,C000139,Savings,2018-12-20,Active
A0000203,C000139,Current,2018-12-20,Active
A0000204,C000140,Savings,2019-02-23,Active
A0000205,C000141,Current,2025-08-19,Active
A0000206,C000142,Current,2024-12-08,Active
A0000207,C000143,Current,2019-01-28,Active
A0000208,C000144,Credit Card,2022-04-06,Active
A0000209,C000145,Credit Card,2020-01-15,Active
A0000210,C000146,Current,2018-10-05,Active
A0000211,C000147,Current,2019-10-26,Active
A0000212,C000148,Current,2024-08-17,Dormant
A0000213,C000149,Savings,2020-05-20,Active
A0000214,C000150,Current,2019-11-28,Active
A0000215,C000151,Current,2020-05-21,Active
A0000216,C000152,Savings,2020-03-04,Active
A0000217,C000153,Savings,2021-12-23,Active
A0000218,C000154,Savings,2020-01-02,Active
A0000219,C000155,Savings,2024-12-29,Active
A0000220,C000156,Current,2023-01-12,Active
A0000221,C000157,Credit Card,2023-08-28,Active
A0000222,C000158,Credit Card,2024-04-01,Closed
A0000223,C000158,Current,2024-04-01,Active
A0000224,C000159,Current,2020-11-12,Active
A0000225,C000159,Current,2020-11-12,Active
A0000226,C000160,Credit Card,2018-06-19,Dormant
A0000227,C000161,Current,2022-07-13,Active
A0000228,C000162,Current,2023-06-30,Active
A0000229,C000163,Current,2022-09-14,Active
A0000230,C000164,Current,2018-08-31,Active
A0000231,C000164,Savings,2018-08-31,Active
A0000232,C000165,Savings,2018-03-07,Active
A0000233,C000166,Savings,2023-10-19,Active
A0000234,C000166,Savings,2023-10-19,Active
A0000235,C000167,Savings,2023-05-10,Active
A0000236,C000168,Savings,2022-08-16,Active
A0000237,C000169,Current,2024-09-03,Active
A0000238,C000169,Current,2024-09-03,Active
A0000239,C000170,Current,2022-04-10,Dormant
A0000240,C000171,Current,2021-09-28,Dormant
A0000241,C000172,Current,2020-08-27,Active
A0000242,C000173,Current,2022-11-17,Active
A0000243,C000173,Current,2022-11-17,Dormant
A0000244,C000174,Current,2019-01-26,Active
A0000245,C000174,Savings,2019-01-26,Active
A0000246,C000175,Current,2024-05-30,Closed
A0000247,C000176,Current,2021-09-26,Active
A0000248,C000176,Savings,2021-09-26,Active
A0000249,C000176,Savings,2021-09-26,Active
A0000250,C000177,Savings,2019-02-27,Active
A0000251,C000178,Savings,2022-07-05,Active
A0000252,C000178,Current,2022-07-05,Closed
A0000253,C000179,Credit Card,2022-12-16,Active
A0000254,C000180,Current,2022-05-27,Closed
A0000255,C000181,Savings,2020-01-06,Active
A0000256,C000182,Savings,2020-12-12,Active
A0000257,C000182,Current,2020-12-12,Active
A0000258,C000183,Current,2021-09-04,Active
A0000259,C000183,Savings,2021-09-04,Active
A0000260,C000184,Credit Card,2025-06-02,Active
A0000261,C000184,Current,2025-06-02,Active
A0000262,C000185,Credit Card,2020-08-16,Active
A0000263,C000186,Current,2018-03-02,Active
A0000264,C000187,Current,2021-01-15,Active
A0000265,C000187,Current,2021-01-15,Active
A0000266,C000188,Current,2022-02-11,Active
A0000267,C000189,Current,2025-02-11,Active
A0000268,C000190,Current,2021-11-24,Dormant
A0000269,C000191,Savings,2021-02-11,Active
A0000270,C000192,Savings,2021-10-29,Active
A0000271,C000193,Current,2018-04-13,Active
A0000272,C000194,Current,2020-07-02,Active
A0000273,C000194,Credit Card,2020-07-02,Active
A0000274,C000195,Savings,2025-06-30,Active
A0000275,C000195,Current,2025-06-30,Active
A0000276,C000196,Savings,2021-02-02,Active
A0000277,C000197,Current,2023-07-05,Active
A0000278,C000198,Current,2023-04-19,Active
A0000279,C000199,Current,2025-08-02,Active
A0000280,C000200,Current,2021-02-18,Active
A0000281,C000200,Savings,2021-02-18,Active
A0000282,C000201,Savings,2020-11-07,Active
A0000283,C000201,Current,2020-11-07,Closed
A0000284,C000202,Credit Card,2021-12-01,Active
A0000285,C000202,Current,2021-12-01,Active
A0000286,C000203,Current,2021-01-06,Active
A0000287,C000203,Current,2021-01-06,Active
A0000288,C000204,Savings,2023-10-04,Active
A0000289,C000205,Current,2018-06-06,Active
A0000290,C000206,Current,2024-02-08,Active
A0000291,C000207,Savings,2022-09-08,Active
A0000292,C000208,Credit Card,2022-01-25,Active
A0000293,C000208,Current,2022-01-25,Active
A0000294,C000209,Current,2025-01-23,Active
A0000295,C000209,Current,2025-01-23,Dormant
A0000296,C000210,Current,2020-02-28,Active
A0000297,C000210,Savings,2020-02-28,Active
A0000298,C000211,Savings,2021-11-07,Active
A0000299,C000211,Savings,2021-11-07,Active
A0000300,C000212,Savings,2022-10-13,Active
A0000301,C000212,Current,2022-10-13,Active
A0000302,C000212,Savings,2022-10-13,Active
A0000303,C000213,Current,2022-01-02,Active
A0000304,C000214,Savings,2019-10-16,Closed
A0000305,C000215,Current,2019-03-04,Active
A0000306,C000215,Current,2019-03-04,Closed
A0000307,C000215,Savings,2019-03-04,Active
A0000308,C000216,Current,2020-12-06,Active
A0000309,C000216,Credit Card,2020-12-06,Active
A0000310,C000217,Credit Card,2020-02-04,Active
A0000311,C000218,Savings,2019-09-20,Active
A0000312,C000219,Savings,2020-08-09,Active
A0000313,C000219,Savings,2020-08-09,Active
A0000314,C000220,Savings,2018-10-26,Active
A0000315,C000221,Savings,2024-09-25,Active
A0000316,C000221,Current,2024-09-25,Active
A0000317,C000222,Savings,2019-03-02,Active
A0000318,C000222,Savings,2019-03-02,Active
A0000319,C000222,Savings,2019-03-02,Active
A0000320,C000223,Savings,2023-11-20,Active
A0000321,C000224,Credit Card,2019-11-21,Active
A0000322,C000224,Credit Card,2019-11-21,Active
A0000323,C000225,Current,2022-06-26,Active
A0000324,C000226,Current,2018-08-21,Active
A0000325,C000227,Current,2019-01-31,Active
A0000326,C000227,Current,2019-01-31,Active
A0000327,C000228,Savings,2025-02-27,Active
A0000328,C000229,Credit Card,2018-02-16,Active
A0000329,C000229,Savings,2018-02-16,Active
