customer_id,city,region,customer_segment,join_date,risk_band
C000001,Glasgow,Scotland,Business,2018-06-02,Low
C000002,Edinburgh,Scotland,Student,2023-03-01,Low
C000003,Edinburgh,Scotland,Mass,2024-02-10,High
C000004,Glasgow,Scotland,Mass,2022-06-21,Medium
C000005,Edinburgh,Scotland,Mass,2019-05-31,Low
C000006,Liverpool,North West,Mass,2018-06-30,Low
C000007,Liverpool,North West,Mass,2021-04-09,Low
C000008,London,South,Mass,2022-09-27,Low
C000009,Manchester,North,Mass,2019-02-23,Low
C000010,Liverpool,North West,Mass,2019-08-23,Medium
C000011,Liverpool,North West,Mass,2024-10-06,Low
C000012,Birmingham,Midlands,Student,2024-09-05,Low
C000013,Leeds,North,Mass,2020-01-30,Low
C000014,Edinburgh,Scotland,Mass,2019-09-11,High
C000015,Liverpool,North West,Mass,2024-04-06,Medium
C000016,London,South,Student,2018-11-15,Low
C000017,Leeds,North,Mass,2018-12-22,Low
C000018,Birmingham,Midlands,Mass,2025-03-28,Medium
C000019,Bristol,South West,Affluent,2021-01-10,Low
C000020,Edinburgh,Scotland,Student,2019-02-26,Low
C000021,Glasgow,Scotland,Mass,2024-03-18,Low
C000022,Manchester,North,Mass,2020-06-24,Medium
C000023,Bristol,South West,Mass,2021-01-09,Medium
C000024,Edinburgh,Scotland,Affluent,2023-09-30,Low
C000025,Liverpool,North West,Mass,2018-02-13,Medium
C000026,Manchester,North,Mass,2021-04-03,Medium
C000027,Birmingham,Midlands,Business,2020-09-09,Low
C000028,Glasgow,Scotland,Mass,2018-11-09,High
C000029,Birmingham,Midlands,Mass,2020-09-09,Medium
C000030,Bristol,South West,Mass,2024-11-15,Low
C000031,London,South,Student,2024-05-07,Medium
C000032,Manchester,North,Mass,2020-06-05,Low
C000033,Edinburgh,Scotland,Mass,2023-03-16,Low
C000034,Glasgow,Scotland,Affluent,2019-05-17,Low
C000035,London,South,Affluent,2022-02-16,Low
C000036,Edinburgh,Scotland,Affluent,2024-03-24,Low
C000037,London,South,Mass,2021-09-20,Low
C000038,Glasgow,Scotland,Mass,2021-06-13,Low
C000039,Glasgow,Scotland,Mass,2020-12-12,Low
C000040,Birmingham,Midlands,Mass,2019-05-01,Low
C000041,Edinburgh,Scotland,Mass,2021-11-21,Low
C000042,Edinburgh,Scotland,Affluent,2024-12-14,Low
C000043,Glasgow,Scotland,Mass,2018-07-25,Medium
C000044,Manchester,North,Mass,2019-02-02,Low
C000045,Edinburgh,Scotland,Mass,2023-06-10,Low
C000046,Edinburgh,Scotland,Mass,2018-05-20,Low
C000047,Leeds,North,Mass,2024-05-23,Low
C000048,Glasgow,Scotland,Mass,2022-02-20,Medium
C000049,Manchester,North,Student,2018-12-18,Medium
C000050,Edinburgh,Scotland,Affluent,2024-04-19,High
C000051,Liverpool,North West,Business,2022-05-15,Low
C000052,London,South,Mass,2021-05-30,Low
C000053,Birmingham,Midlands,Mass,2020-04-20,Medium
C000054,Glasgow,Scotland,Mass,2018-05-26,High
C000055,Birmingham,Midlands,Business,2021-09-15,Low
C000056,Glasgow,Scotland,Student,2025-05-17,Low
C000057,Leeds,North,Mass,2018-02-18,Low
C000058,Bristol,South West,Affluent,2022-10-02,Low
C000059,Bristol,South West,Mass,2019-02-06,Low
C000060,Glasgow,Scotland,Mass,2022-10-29,Low
C000061,Liverpool,North West,Mass,2024-12-20,Medium
C000062,Bristol,South West,Mass,2024-03-25,High
C000063,Manchester,North,Mass,2023-12-16,Medium
C000064,Bristol,South West,Mass,2020-05-17,Low
C000065,Birmingham,Midlands,Mass,2021-09-12,Low
C000066,Glasgow,Scotland,Business,2018-02-24,Low
C000067,Bristol,South West,Student,2019-06-21,Low
C000068,Edinburgh,Scotland,Student,2024-05-14,Low
C000069,Bristol,South West,Mass,2020-02-01,Low
C000070,Edinburgh,Scotland,Mass,2019-11-13,Low
C000071,Leeds,North,Mass,2019-08-31,Low
C000072,Birmingham,Midlands,Mass,2019-01-02,Low
C000073,Liverpool,North West,Student,2024-02-17,Low
C000074,Birmingham,Midlands,Mass,2023-10-13,Low
C000075,Leeds,North,Mass,2023-03-19,Low
C000076,Glasgow,Scotland,Mass,2018-01-07,Low
C000077,Manchester,North,Affluent,2020-05-13,Low
C000078,Glasgow,Scotland,Student,2020-03-27,Medium
C000079,Manchester,North,Mass,2023-11-19,Medium
C000080,Glasgow,Scotland,Mass,2019-09-09,Low
C000081,Glasgow,Scotland,Student,2020-11-04,Low
C000082,Edinburgh,Scotland,Affluent,2019-11-01,High
C000083,Liverpool,North West,Affluent,2025-07-16,Medium
C000084,Bristol,South West,Affluent,2023-12-25,Low
C000085,Liverpool,North West,Mass,2020-08-15,Low
C000086,Birmingham,Midlands,Mass,2022-06-03,Low
C000087,Manchester,North,Mass,2018-07-05,Low
C000088,Leeds,North,Mass,2022-01-28,High
C000089,Birmingham,Midlands,Mass,2020-11-28,Low
C000090,Leeds,North,Mass,2023-01-09,Low
C000091,London,South,Affluent,2022-08-13,Low
C000092,Bristol,South West,Business,2019-06-17,Low
C000093,Birmingham,Midlands,Mass,2024-02-07,Low
C000094,Liverpool,North West,Mass,2024-03-25,Low
C000095,Bristol,South West,Student,2025-04-08,Low
C000096,Bristol,South West,Mass,2023-07-16,High
C000097,Leeds,North,Mass,2018-08-02,Low
C000098,London,South,Mass,2018-07-27,Low
C000099,Glasgow,Scotland,Business,2018-11-04,Medium
C000100,Edinburgh,Scotland,Mass,2021-03-09,Low
C000101,Liverpool,North West,Mass,2019-08-04,Low
C000102,Leeds,North,Mass,2020-05-12,Low
C000103,Leeds,North,Affluent,2019-03-17,Low
C000104,Glasgow,Scotland,Business,2025-01-17,Low
C000105,Manchester,North,Mass,2019-04-16,Low
C000106,Liverpool,North West,Mass,2020-05-10,Medium
C000107,Birmingham,Midlands,Mass,2025-08-05,Low
C000108,Bristol,South West,Student,2018-11-28,Low
C000109,Liverpool,North West,Business,2024-11-25,Low
C000110,Liverpool,North West,Mass,2020-05-12,Low
C000111,London,South,Mass,2019-12-26,Low
C000112,Birmingham,Midlands,Mass,2021-01-21,Low
C000113,Leeds,North,Mass,2025-02-18,Low
C000114,Glasgow,Scotland,Mass,2025-01-27,Medium
C000115,Liverpool,North West,Business,2018-10-26,Low
C000116,Birmingham,Midlands,Mass,2023-09-03,Medium
C000117,Liverpool,North West,Affluent,2024-03-03,Low
C000118,Liverpool,North West,Mass,2025-06-20,Low
C000119,Birmingham,Midlands,Student,2024-03-01,Low
C000120,Liverpool,North West,Mass,2020-11-04,Medium
C000121,Birmingham,Midlands,Business,2018-12-30,Low
C000122,Glasgow,Scotland,Mass,2020-11-25,Medium
C000123,London,South,Mass,2022-12-22,Low
C000124,Leeds,North,Mass,2020-05-31,Medium
C000125,Bristol,South West,Business,2022-08-08,High
C000126,Manchester,North,Mass,2018-02-18,High
C000127,Bristol,South West,Student,2022-03-09,High
C000128,Bristol,South West,Student,2018-07-25,Medium
C000129,Edinburgh,Scotland,Mass,2021-10-13,Low
C000130,Liverpool,North West,Mass,2022-11-26,Low
C000131,Manchester,North,Mass,2025-08-22,Low
C000132,Birmingham,Midlands,Mass,2021-11-19,Low
C000133,Birmingham,Midlands,Mass,2021-09-14,Low
C000134,Edinburgh,Scotland,Business,2018-02-23,Low
C000135,Glasgow,Scotland,Mass,2020-10-05,Low
