loan_id,customer_id,loan_type,principal_amount,interest_rate,loan_status
L000001,C003788,Auto,30000,14.15,Delinquent
L000002,C001794,Home Improvement,7500,5.86,Current
L000003,C000405,Home Improvement,15000,12.67,Current
L000004,C003816,Home Improvement,5000,3.81,Paid Off
L000005,C001364,Personal,15000,17.68,Current
L000006,C001346,Home Improvement,30000,7.75,Paid Off
L000007,C001861,Personal,7500,11.15,Current
L000008,C000830,Home Improvement,20000,15.78,Current
L000009,C002256,Auto,20000,18.03,Current
L000010,C001971,Auto,5000,7.83,Current
L000011,C004937,Home Improvement,2500,17.85,Delinquent
L000012,C004009,Auto,10000,10.22,Paid Off
L000013,C004817,Auto,5000,9.29,Current
L000014,C004903,Personal,15000,18.0,Paid Off
L000015,C004990,Home Improvement,2500,4.95,Paid Off
L000016,C004621,Home Improvement,2500,10.37,Current
L000017,C000908,Home Improvement,5000,10.1,Current
L000018,C004836,Personal,7500,15.28,Current
L000019,C002279,Auto,5000,4.63,Current
L000020,C000262,Personal,7500,15.79,Current
L000021,C004420,Home Improvement,15000,13.6,Current
L000022,C001004,Home Improvement,15000,8.66,Current
L000023,C003434,Home Improvement,2500,10.92,Current
L000024,C001605,Personal,7500,12.44,Paid Off
L000025,C004652,Home Improvement,5000,13.55,Current
L000026,C004427,Auto,30000,17.44,Current
L000027,C003628,Home Improvement,5000,6.31,Paid Off
L000028,C001183,Personal,20000,10.16,Current
L000029,C000391,Auto,30000,4.33,Paid Off
L000030,C000853,Personal,2500,11.86,Current
L000031,C000504,Home Improvement,2500,7.29,Current
L000032,C002908,Auto,20000,3.93,Current
L000033,C000195,Home Improvement,15000,11.99,Current
L000034,C003004,Personal,10000,7.96,Current
L000035,C003317,Home Improvement,2500,12.47,Current
L000036,C000382,Personal,20000,13.91,Current
L000037,C004213,Personal,10000,16.69,Current
L000038,C003339,Home Improvement,7500,5.65,Current
L000039,C001897,Personal,7500,15.18,Current
L000040,C001227,Personal,7500,12.36,Current
L000041,C001272,Personal,7500,6.39,Paid Off
L000042,C003070,Home Improvement,15000,16.71,Current
L000043,C003690,Home Improvement,30000,11.01,Current
L000044,C004293,Home Improvement,7500,12.35,Current
L000045,C001700,Home Improvement,2500,5.56,Current
L000046,C000272,Personal,5000,7.54,Current
L000047,C004315,Auto,15000,14.26,Current
L000048,C003667,Home Improvement,15000,6.07,Current
L000049,C001159,Home Improvement,7500,11.48,Paid Off
L000050,C001582,Home Improvement,7500,15.0,Current
L000051,C002330,Auto,5000,15.66,Current
L000052,C000336,Home Improvement,2500,12.08,Current
L000053,C004280,Home Improvement,15000,11.53,Current
L000054,C003990,Home Improvement,30000,13.29,Current
L000055,C001421,Auto,5000,7.21,Current
L000056,C004236,Home Improvement,20000,4.16,Current
L000057,C002214,Personal,2500,15.76,Current
L000058,C003595,Auto,15000,3.88,Paid Off
L000059,C001565,Personal,2500,8.11,Current
L000060,C003410,Personal,5000,7.39,Current
L000061,C000090,Home Improvement,10000,4.31,Current
L000062,C000493,Personal,7500,15.5,Current
L000063,C001264,Auto,30000,5.82,Current
L000064,C000627,Personal,10000,13.86,Current
L000065,C004450,Personal,5000,17.27,Current
L000066,C003666,Auto,5000,4.85,Current
L000067,C002712,Personal,2500,7.31,Current
L000068,C000738,Auto,7500,4.2,Current
L000069,C001380,Personal,7500,9.96,Current
L000070,C003956,Personal,5000,9.05,Current
L000071,C002339,Home Improvement,30000,7.16,Paid Off
L000072,C001731,Personal,7500,7.96,Current
L000073,C001524,Home Improvement,10000,6.54,Current
L000074,C003551,Auto,20000,5.83,Current
L000075,C001462,Personal,7500,4.12,Current
L000076,C003099,Personal,30000,12.72,Paid Off
L000077,C003453,Personal,10000,3.63,Current
L000078,C002567,Auto,15000,17.5,Current
L000079,C001608,Personal,5000,17.53,Current
L000080,C002154,Personal,15000,11.66,Current
L000081,C000734,Personal,30000,5.77,Delinquent
L000082,C001527,Auto,30000,11.88,Paid Off
L000083,C002365,Home Improvement,10000,16.79,Current
L000084,C004177,Personal,7500,15.29,Current
L000085,C003489,Auto,10000,13.33,Current
L000086,C001039,Personal,5000,17.09,Current
L000087,C002167,Personal,7500,14.9,Current
L000088,C002171,Personal,5000,7.86,Current
L000089,C002695,Personal,30000,17.37,Current
L000090,C002757,Personal,10000,14.8,Current
L000091,C004895,Home Improvement,7500,15.73,Current
L000092,C004174,Personal,2500,6.71,Current
L000093,C002726,Personal,10000,5.39,Current
L000094,C004184,Personal,20000,15.04,Current
L000095,C003760,Personal,10000,6.13,Current
L000096,C003316,Auto,2500,15.97,Current
L000097,C001292,Auto,2500,10.18,Current
L000098,C000524,Home Improvement,7500,4.31,Paid Off
L000099,C000458,Home Improvement,10000,7.48,Current
L000100,C001809,Personal,10000,5.8,Delinquent
L000101,C001329,Home Improvement,15000,9.83,Current
L000102,C001479,Personal,30000,10.3,Current
L000103,C003799,Auto,20000,15.38,Current
L000104,C004209,Home Improvement,20000,15.42,Delinquent
L000105,C002412,Auto,15000,6.3,Paid Off
L000106,C002582,Personal,20000,5.84,Current
L000107,C001053,Auto,5000,14.27,Current
L000108,C000692,Personal,10000,17.55,Current
L000109,C004451,Auto,15000,5.01,Paid Off
L000110,C001685,Auto,5000,16.06,Paid Off
L000111,C003562,Home Improvement,5000,10.13,Paid Off
L000112,C000235,Personal,30000,11.71,Current
L000113,C004015,Personal,30000,18.38,Paid Off
L000114,C001989,Home Improvement,7500,16.29,Current
L000115,C000460,Personal,7500,9.71,Current
L000116,C000270,Auto,2500,16.72,Delinquent
L000117,C001035,Auto,7500,12.81,Current
L000118,C001926,Home Improvement,20000,6.52,Current
L000119,C004497,Auto,15000,17.96,Paid Off
L000120,C002089,Personal,20000,13.87,Current
L000121,C001972,Home Improvement,15000,15.34,Current
L000122,C004007,Home Improvement,10000,10.3,Current
L000123,C002210,Home Improvement,30000,16.12,Current
L000124,C000095,Home Improvement,20000,11.21,Current
L000125,C003236,Auto,30000,18.49,Current
L000126,C003652,Personal,2500,6.72,Current
L000127,C004214,Personal,15000,14.21,Paid Off
L000128,C004230,Auto,5000,4.07,Current
L000129,C003592,Auto,5000,14.93,Current
L000130,C004203,Personal,5000,18.42,Current
L000131,C002519,Auto,7500,15.55,Current
L000132,C002542,Personal,5000,9.11,Current
L000133,C002538,Home Improvement,2500,5.36,Current
L000134,C002861,Auto,30000,8.93,Current
L000135,C001489,Personal,30000,13.86,Current
L000136,C004771,Auto,30000,6.58,Current
L000137,C002921,Home Improvement,2500,4.66,Current
L000138,C004624,Personal,5000,10.4,Current
L000139,C001522,Home Improvement,10000,18.23,Current
L000140,C003041,Personal,30000,15.49,Current
L000141,C001764,Personal,10000,4.69,Current
L000142,C001672,Personal,10000,10.48,Current
L000143,C000953,Auto,10000,16.71,Current
L000144,C002091,Auto,15000,8.48,Delinquent
L000145,C003408,Home Improvement,5000,6.58,Paid Off
L000146,C004698,Home Improvement,5000,9.7,Current
L000147,C002015,Home Improvement,5000,13.18,Delinquent
L000148,C001509,Auto,15000,4.06,Current
L000149,C000616,Auto,5000,5.41,Current
L000150,C003404,Home Improvement,15000,8.48,Current
L000151,C000653,Auto,30000,16.51,Current
L000152,C002153,Home Improvement,20000,7.11,Current
L000153,C001578,Personal,15000,4.3,Current
L000154,C001921,Personal,30000,15.85,Current
L000155,C003274,Home Improvement,30000,15.68,Current
L000156,C002116,Auto,2500,4.25,Current
L000157,C004612,Home Improvement,7500,14.47,Current
L000158,C002589,Auto,10000,18.39,Current
L000159,C000726,Auto,2500,5.63,Current
L000160,C004078,Personal,20000,11.27,Current
L000161,C002691,Auto,30000,12.54,Current
L000162,C003842,Home Improvement,2500,11.4,Current
L000163,C003032,Auto,7500,16.41,Current
L000164,C002453,Home Improvement,30000,12.73,Current
L000165,C003688,Personal,10000,9.65,Current
L000166,C000045,Home Improvement,15000,13.02,Current
L000167,C000099,Home Improvement,2500,13.84,Current
L000168,C004489,Home Improvement,30000,16.56,Current
L000169,C002158,Auto,7500,10.57,Current
L000170,C001493,Personal,10000,5.06,Current
L000171,C000096,Auto,20000,8.59,Current
L000172,C002779,Home Improvement,2500,13.94,Current
L000173,C001366,Personal,5000,7.58,Current
L000174,C000394,Personal,7500,18.46,Current
L000175,C004017,Personal,20000,18.04,Current
L000176,C000972,Home Improvement,10000,10.12,Current
L000177,C002085,Auto,7500,7.07,Current
L000178,C004467,Home Improvement,5000,11.16,Paid Off
L000179,C000192,Home Improvement,20000,3.74,Current
L000180,C003147,Personal,20000,15.47,Current
L000181,C003538,Home Improvement,5000,8.15,Paid Off
L000182,C000345,Home Improvement,15000,10.67,Current
L000183,C000528,Personal,5000,10.62,Current
L000184,C000173,Auto,5000,14.43,Paid Off
L000185,C001694,Auto,20000,12.3,Current
L000186,C004835,Personal,20000,8.43,Current
L000187,C001885,Personal,30000,6.97,Current
L000188,C000242,Auto,10000,5.8,Current
L000189,C003224,Auto,5000,9.39,Current
L000190,C002568,Personal,30000,9.73,Delinquent
L000191,C000537,Home Improvement,20000,11.57,Current
L000192,C004601,Home Improvement,10000,15.84,Current
L000193,C003247,Home Improvement,20000,15.54,Current
L000194,C002511,Personal,15000,6.07,Current
L000195,C003162,Home Improvement,2500,12.3,Paid Off
L000196,C003668,Home Improvement,10000,5.27,Current
L000197,C004215,Personal,15000,10.74,Current
L000198,C004507,Auto,15000,3.78,Current
L000199,C004718,Personal,7500,3.7,Current
L000200,C004057,Auto,20000,4.0,Current
L000201,C000004,Home Improvement,2500,17.55,Paid Off
L000202,C000533,Home Improvement,10000,9.79,Current
L000203,C000127,Personal,20000,11.42,Current
L000204,C004755,Auto,10000,17.84,Current
L000205,C002446,Auto,30000,8.6,Current
L000206,C004882,Home Improvement,15000,16.8,Current
L000207,C004879,Home Improvement,30000,13.78,Current
L000208,C003617,Home Improvement,10000,15.71,Current
L000209,C001904,Personal,2500,15.78,Paid Off
L000210,C004212,Home Improvement,15000,16.48,Delinquent
L000211,C003854,Auto,7500,16.25,Current
L000212,C003881,Home Improvement,30000,4.14,Current
L000213,C004220,Auto,30000,10.11,Current
L000214,C000495,Home Improvement,10000,7.56,Current
L000215,C004697,Home Improvement,15000,16.23,Current
L000216,C002264,Home Improvement,30000,13.77,Current
L000217,C003217,Auto,10000,17.25,Paid Off
L000218,C000721,Home Improvement,5000,5.92,Current
L000219,C003233,Auto,30000,12.32,Current
L000220,C000698,Home Improvement,7500,11.35,Paid Off
L000221,C002944,Personal,7500,14.99,Paid Off
L000222,C001723,Auto,30000,6.2,Current
L000223,C000094,Personal,10000,12.85,Current
L000224,C003663,Home Improvement,2500,5.1,Current
L000225,C003264,Personal,7500,7.3,Current
L000226,C003302,Personal,2500,7.82,Paid Off
L000227,C002857,Auto,2500,13.46,Current
L000228,C000609,Auto,2500,11.67,Current
L000229,C002268,Home Improvement,5000,8.57,Current
L000230,C000876,Personal,2500,12.39,Current
L000231,C000677,Auto,10000,4.25,Current
L000232,C004943,Auto,7500,18.31,Current
L000233,C003555,Auto,15000,6.1,Current
L000234,C001266,Personal,10000,7.81,Current
L000235,C000772,Auto,20000,7.56,Current
L000236,C000329,Home Improvement,2500,14.26,Paid Off
L000237,C000214,Personal,20000,3.52,Paid Off
L000238,C001500,Personal,5000,14.13,Current
L000239,C000442,Home Improvement,5000,14.31,Current
L000240,C000966,Auto,7500,7.7,Paid Off
L000241,C004986,Personal,30000,14.62,Current
L000242,C003925,Home Improvement,5000,6.72,Current
L000243,C000116,Auto,7500,5.99,Current
L000244,C001398,Auto,15000,11.22,Current
L000245,C001936,Home Improvement,7500,6.62,Current
L000246,C003787,Auto,20000,5.66,Current
L000247,C003631,Auto,15000,11.57,Paid Off
L000248,C004815,Auto,20000,17.4,Delinquent
L000249,C004610,Home Improvement,7500,10.78,Current
L000250,C000708,Home Improvement,30000,15.11,Delinquent
L000251,C001868,Home Improvement,5000,8.11,Current
L000252,C003936,Home Improvement,20000,13.98,Current
L000253,C002370,Auto,30000,17.66,Paid Off
L000254,C003750,Personal,15000,14.79,Current
L000255,C004969,Personal,10000,16.28,Current
L000256,C001171,Personal,5000,14.92,Paid Off
L000257,C000117,Home Improvement,30000,7.02,Paid Off
L000258,C004186,Personal,7500,14.46,Paid Off
L000259,C001765,Auto,7500,4.3,Current
L000260,C003432,Auto,5000,17.23,Current
L000261,C004743,Auto,15000,14.98,Current
L000262,C004130,Auto,15000,4.08,Current
L000263,C000169,Auto,7500,12.21,Current
L000264,C003758,Home Improvement,15000,3.63,Current
L000265,C004063,Home Improvement,7500,10.79,Current
L000266,C002022,Personal,7500,6.29,Current
L000267,C002267,Personal,30000,10.5,Current
L000268,C004728,Personal,10000,9.87,Paid Off
L000269,C001225,Auto,5000,9.84,Current
L000270,C002667,Home Improvement,2500,5.64,Current
L000271,C001503,Personal,7500,7.21,Current
L000272,C002870,Personal,15000,8.29,Current
L000273,C001119,Personal,5000,14.82,Current
L000274,C000651,Home Improvement,10000,8.91,Current
L000275,C004069,Auto,10000,12.81,Current
L000276,C000275,Personal,20000,16.29,Delinquent
L000277,C000484,Personal,7500,7.76,Current
L000278,C003265,Home Improvement,7500,7.76,Current
L000279,C003653,Auto,20000,15.43,Current
L000280,C004984,Home Improvement,20000,15.04,Current
L000281,C003399,Home Improvement,7500,4.81,Current
L000282,C002960,Personal,2500,15.46,Current
L000283,C002705,Auto,2500,10.77,Current
L000284,C003405,Home Improvement,10000,4.68,Paid Off
L000285,C002130,Auto,20000,7.71,Current
L000286,C001650,Personal,15000,9.94,Current
L000287,C000040,Auto,20000,11.28,Current
L000288,C004106,Personal,20000,3.63,Delinquent
L000289,C001323,Home Improvement,5000,10.22,Current
L000290,C000423,Personal,7500,13.06,Paid Off
L000291,C001572,Auto,10000,13.55,Current
L000292,C004271,Home Improvement,15000,5.96,Current
L000293,C003163,Personal,2500,10.22,Current
L000294,C000450,Auto,10000,12.25,Paid Off
L000295,C003504,Home Improvement,10000,6.9,Current
L000296,C000593,Home Improvement,15000,17.62,Current
L000297,C002682,Auto,5000,11.92,Current
L000298,C004429,Auto,30000,6.19,Current
L000299,C003912,Home Improvement,20000,9.75,Current
L000300,C004747,Personal,10000,9.12,Current
L000301,C000959,Auto,10000,4.07,Current
L000302,C004583,Personal,5000,10.39,Current
L000303,C000247,Home Improvement,30000,14.93,Paid Off
L000304,C001271,Home Improvement,2500,15.3,Current
L000305,C003645,Personal,30000,17.79,Paid Off
L000306,C000557,Auto,10000,15.33,Current
L000307,C000437,Personal,15000,8.8,Current
L000308,C004181,Personal,5000,15.32,Current
L000309,C000798,Personal,7500,15.05,Current
L000310,C002982,Auto,30000,15.86,Current
L000311,C002640,Home Improvement,15000,18.38,Current
L000312,C004102,Home Improvement,20000,13.32,Paid Off
L000313,C004270,Personal,20000,9.99,Current
L000314,C002040,Personal,30000,12.21,Current
L000315,C002311,Auto,10000,11.05,Current
L000316,C000525,Personal,20000,4.71,Current
L000317,C002179,Home Improvement,15000,17.25,Delinquent
L000318,C004751,Personal,20000,14.57,Current
L000319,C004800,Personal,10000,17.47,Current
L000320,C001110,Personal,15000,10.35,Current
L000321,C002336,Auto,5000,10.97,Current
L000322,C002907,Home Improvement,2500,6.61,Current
L000323,C004792,Auto,30000,12.2,Paid Off
L000324,C001732,Personal,7500,7.09,Current
L000325,C001598,Personal,7500,15.53,Current
L000326,C003470,Home Improvement,15000,13.67,Current
L000327,C003599,Home Improvement,2500,5.8,Current
L000328,C001036,Personal,7500,14.49,Current
L000329,C002320,Personal,2500,10.59,Current
L000330,C000930,Auto,5000,3.63,Current
L000331,C000157,Home Improvement,5000,5.88,Paid Off
L000332,C000133,Auto,15000,3.7,Current
L000333,C002480,Auto,10000,3.67,Current
L000334,C004207,Auto,5000,9.84,Current
L000335,C003569,Auto,20000,11.16,Current
L000336,C004039,Personal,2500,7.68,Current
L000337,C002904,Personal,15000,17.6,Current
L000338,C002068,Personal,15000,17.14,Current
L000339,C000652,Home Improvement,2500,4.52,Current
L000340,C003689,Personal,5000,9.21,Current
L000341,C002309,Auto,2500,13.05,Current
L000342,C002367,Home Improvement,30000,8.62,Current
L000343,C004250,Personal,7500,11.09,Paid Off
L000344,C001257,Auto,7500,9.04,Current
L000345,C002722,Auto,30000,14.16,Current
L000346,C003340,Auto,15000,15.83,Delinquent
L000347,C002606,Personal,15000,17.62,Current
L000348,C002428,Personal,2500,9.57,Paid Off
L000349,C000642,Auto,15000,16.83,Current
L000350,C001383,Personal,10000,15.96,Paid Off
L000351,C002399,Auto,15000,10.51,Paid Off
L000352,C003769,Home Improvement,15000,5.15,Current
L000353,C003358,Home Improvement,7500,4.16,Current
L000354,C001236,Personal,15000,8.13,Current
L000355,C002648,Home Improvement,20000,9.92,Current
